Symbol,Catalyst_Score,Recommendation,Catalyst_Type,Explosive_Potential,Price_Change_1D,Volume_Spike,Technical_Score,Fundamental_Score,Overall_Score,Risk_Level,Hedge_Fund_Rank,Institutional_Rank,Quant_Rank
APD,71.05702308804084,STRONG BUY,product,True,21.256314267308305,13.260133892266394,0.0,5.0,16.7,High,N/A,N/A,N/A
ASTS,70.46071863971102,STRONG BUY,partnership,True,28.968442755490393,7.892884258603788,98.0,95.0,81.48,High,1,1,1
BIOC,69.89089571624879,BUY,product,True,30.281435221070012,8.081058900974318,48.92362700137415,55.91271657299904,52.418171787186594,High,N/A,N/A,N/A
BK,69.8307294381625,BUY,partnership,True,27.844737877930445,7.572779920370186,48.88151060671375,55.86458355053001,52.37304707862188,High,N/A,N/A,N/A
ABT,68.33711825134012,BUY,earnings,True,26.692701021702817,5.4643719383068525,47.83598277593808,54.669694601072095,51.252838688505086,High,N/A,N/A,N/A
BLK,68.05787671838257,BUY,contract,True,22.416159290827977,14.015719388698294,47.6405137028678,54.44630137470606,51.04340753878693,High,N/A,N/A,N/A
AVB,67.94042646570571,BUY,product,True,30.718616376068297,6.903900202590338,47.558298525994,54.35234117256457,50.955319849279284,High,N/A,N/A,N/A
AEHR,66.88011853145056,BUY,earnings,True,17.110135429103845,13.839010377298527,46.816082972015394,53.50409482516045,50.16008889858792,High,N/A,N/A,N/A
AMPE,66.51230951180617,BUY,partnership,True,22.360808213501876,8.839073456962584,46.55861665826431,53.209847609444935,49.884232133854624,High,N/A,N/A,N/A
BEAM,66.14064734790017,BUY,partnership,True,27.70691153550616,6.005702347566282,46.29845314353012,52.91251787832014,49.60548551092513,High,N/A,N/A,N/A
BATT,66.10984766265773,BUY,partnership,True,18.680502845133294,11.798261796819446,46.27689336386041,52.88787813012618,49.582385746993296,High,N/A,N/A,N/A
ALGM,65.93690607951496,BUY,partnership,True,30.52712181719651,6.708521857992672,46.155834255660466,52.74952486361197,49.452679559636216,High,N/A,N/A,N/A
AMAT,65.9091876745421,BUY,product,True,32.47661108194714,13.999436240808038,46.136431372179466,52.72735013963368,49.43189075590657,High,N/A,N/A,N/A
