Symbol,Catalyst_Score,Recommendation,Catalyst_Type,Explosive_Potential,Price_Change_1D,Volume_Spike,Technical_Score,Fundamental_Score,Overall_Score,Risk_Level,Hedge_Fund_Rank,Institutional_Rank,Quant_Rank
BBIG,70.25161973844472,STRONG BUY,partnership,True,20.800363906262973,11.376678026594137,15,95,55.77333333333334,High,N/A,N/A,N/A
BENE,70.15205679311921,STRONG BUY,product,True,30.919083616539957,10.202370729819261,0,0,0.0,Unknown,N/A,N/A,N/A
BFRI,69.43906789687782,BUY,earnings,True,16.037151541226475,13.080837390101939,0,0,0.0,Unknown,N/A,N/A,N/A
ACB.TO,68.51972946011361,BUY,product,True,21.002396090343687,12.649066970886665,0,0,0.0,Unknown,N/A,N/A,N/A
ABBV,67.70738336602793,BUY,partnership,True,29.710405815242595,5.273547256089106,0,0,0.0,Unknown,N/A,N/A,N/A
BIIB,67.68966115070772,BUY,upgrade,True,15.19418869810265,9.767786886600645,0,0,0.0,Unknown,N/A,N/A,N/A
AFRM,67.65613488096474,BUY,product,True,23.23476641094137,11.66346282046461,0,0,0.0,Unknown,N/A,N/A,N/A
AOSL,66.65616174665513,BUY,partnership,True,17.5434626159345,11.581847942850414,0,0,0.0,Unknown,N/A,N/A,N/A
BCE.TO,66.51519797098325,BUY,product,True,17.953844370186665,7.1693031837395695,0,0,0.0,Unknown,N/A,N/A,N/A
ALPP,66.12712513843493,BUY,contract,True,33.93416902309231,11.340479949788723,0,0,0.0,Unknown,N/A,N/A,N/A
AEE,65.8037919437984,BUY,earnings,True,29.485928599918815,14.543906458763033,0,0,0.0,Unknown,N/A,N/A,N/A
ALGN,65.06388891481058,BUY,upgrade,True,17.754480929085034,7.73797156407152,0,0,0.0,Unknown,N/A,N/A,N/A
AMGN,64.42714450416237,BUY,contract,True,19.77457123370273,9.935755973905074,0,0,0.0,Unknown,N/A,N/A,N/A
ALXN,64.09146919535218,BUY,product,True,22.779795467423476,13.234773543454006,0,0,0.0,Unknown,N/A,N/A,N/A
B2GOLD.TO,64.05097266994046,BUY,earnings,True,29.447405018485657,6.139483221950145,0,0,0.0,Unknown,N/A,N/A,N/A
BB,63.79673574859837,BUY,product,True,19.55247394026678,7.029365900258014,0,0,0.0,Unknown,N/A,N/A,N/A
ADI,63.48704942630006,BUY,earnings,True,22.369098448811773,13.283452406046695,0,0,0.0,Unknown,N/A,N/A,N/A
ABVC,63.41477156796503,BUY,partnership,True,33.972841897618,14.726570151940617,0,0,0.0,Unknown,N/A,N/A,N/A
ASTS,63.17052327665184,BUY,partnership,False,5.295973145024936,5.941286560488001,0,0,0.0,Unknown,N/A,N/A,N/A
ATNF,63.14369316737991,BUY,product,True,30.767573133077313,14.386475152406772,0,0,0.0,Unknown,N/A,N/A,N/A
APA,63.091433512072825,BUY,earnings,True,10.130185988893253,6.211308544783822,0,0,0.0,Unknown,N/A,N/A,N/A
ARRY,63.02627957547205,BUY,upgrade,True,30.47773772057358,7.707709207948215,0,0,0.0,Unknown,N/A,N/A,N/A
AMD,62.344332509337285,BUY,partnership,True,26.014131463557455,14.34438845836005,0,0,0.0,Unknown,N/A,N/A,N/A
AEM.TO,61.689000713880276,BUY,earnings,True,10.473285817784332,6.922741491668413,0,0,0.0,Unknown,N/A,N/A,N/A
AMPE,61.6489587768512,BUY,product,True,24.274804843478073,5.6898908291351304,0,0,0.0,Unknown,N/A,N/A,N/A
AVAV,61.44825173091364,BUY,earnings,True,27.21619383934376,6.831205662973881,0,0,0.0,Unknown,N/A,N/A,N/A
BAM.TO,61.373073273771865,BUY,upgrade,True,11.46948454877669,6.217030032627584,0,0,0.0,Unknown,N/A,N/A,N/A
AMBA,61.28213328535041,BUY,product,False,5.317321142875181,3.4856380046440036,0,0,0.0,Unknown,N/A,N/A,N/A
BK,60.886268995487356,BUY,earnings,True,10.47783199092418,5.720964908767263,0,0,0.0,Unknown,N/A,N/A,N/A
BAC,60.786134945616126,BUY,contract,False,7.17951453741281,5.177186979816284,0,0,0.0,Unknown,N/A,N/A,N/A
BIDU,60.19029532747123,BUY,earnings,False,6.140862230104267,3.4015571956603257,0,0,0.0,Unknown,N/A,N/A,N/A
ATVI,59.32293088700709,BUY,partnership,False,9.27017048723274,6.073010894790278,0,0,0.0,Unknown,N/A,N/A,N/A
ARX.TO,58.274358362662824,BUY,contract,False,8.15694693454004,6.474188881801956,0,0,0.0,Unknown,N/A,N/A,N/A
BLNK,58.00800349755254,BUY,partnership,True,11.743280755320882,6.630814926046327,0,0,0.0,Unknown,N/A,N/A,N/A
ADP,57.16334870724496,BUY,contract,False,9.743941883165324,6.366744296051829,0,0,0.0,Unknown,N/A,N/A,N/A
AAPL,56.92562493131733,BUY,earnings,True,11.963920344096,5.54067143341727,0,0,0.0,Unknown,N/A,N/A,N/A
BLUE,56.69577698115138,BUY,partnership,True,10.357136926911803,5.640664687218656,0,0,0.0,Unknown,N/A,N/A,N/A
BATT,56.562148389883376,BUY,partnership,False,5.679854014782843,6.618314995908018,0,0,0.0,Unknown,N/A,N/A,N/A
ACN,56.40161372783855,BUY,upgrade,False,7.027293963232147,5.713736401155906,0,0,0.0,Unknown,N/A,N/A,N/A
ARCB,55.73495404187071,BUY,earnings,False,5.74794885147811,3.8349819259557116,0,0,0.0,Unknown,N/A,N/A,N/A
AI,54.730740888858534,BUY,earnings,False,6.66612570816133,6.6723928467974325,0,0,0.0,Unknown,N/A,N/A,N/A
ANF,54.647927123135716,BUY,partnership,False,4.664297319258234,2.2694640900896257,0,0,0.0,Unknown,N/A,N/A,N/A
ALGM,54.56616171535293,BUY,earnings,False,5.097319535844312,1.49591576313313,0,0,0.0,Unknown,N/A,N/A,N/A
ABT,54.55913377837635,BUY,earnings,False,6.684626935074743,6.101227512787775,0,0,0.0,Unknown,N/A,N/A,N/A
ADBE,54.53986256900781,BUY,partnership,False,7.677981494034337,5.773103371171466,0,0,0.0,Unknown,N/A,N/A,N/A
ALA.TO,54.12772722507485,BUY,earnings,False,4.090429877603471,1.9848477980522268,0,0,0.0,Unknown,N/A,N/A,N/A
ARWR,54.058066923440975,BUY,earnings,False,3.0117699342236812,2.1103416335748726,0,0,0.0,Unknown,N/A,N/A,N/A
BIOC,53.98820855861621,BUY,upgrade,False,4.736752894448155,2.421003178062745,0,0,0.0,Unknown,N/A,N/A,N/A
AGI.TO,53.74853049182076,BUY,product,False,5.8110773423248245,1.358699407093511,0,0,0.0,Unknown,N/A,N/A,N/A
AVB,53.45205306835824,BUY,contract,False,2.366826157298961,2.2501190361888335,0,0,0.0,Unknown,N/A,N/A,N/A
